GP022552158
TEST NBR 00123
LMG6 GPS
EDWARDS AFB, CA
2132Z  12 SEP 17

  ALT  DIR   SPD  SHR  TEMP  DPT   PRESS   RH ABHUM DENSITY I/R V/S  VPS  PW
GEOMFT DEG   KTS /SEC DEG C DEG C   MBS   PCT  G/M3   G/M3   N  KTS  MBS  MM

 15800 185  34.3 .011  -1.3  -8.2  571.84  59  2.62  731.30 180 643  3.29 26
 15900 185  33.8 .009  -1.6  -8.3  569.61  60  2.61  729.09 179 643  3.27 26
 16000 186  33.1 .014  -1.8  -8.8  567.52  59  2.52  727.12 178 643  3.15 26
 16100 186  33.4 .005  -2.1  -8.8  565.27  60  2.51  724.98 178 642  3.14 26
 16200 185  34.9 .026  -2.4  -9.3  563.13  59  2.42  723.07 177 642  3.02 26
 16300 186  36.2 .025  -2.7 -10.0  561.02  57  2.29  721.23 176 642  2.86 26
 16400 186  36.8 .010  -2.9 -10.2  558.88  57  2.26  719.06 175 641  2.81 26
 16500 185  36.4 .013  -3.2 -10.5  556.67  57  2.21  716.97 174 641  2.76 26
 16600 185  36.4 .000  -3.5 -10.1  554.60  60  2.28  715.02 174 641  2.84 27
 16700 184  36.9 .014  -3.7 -10.3  552.45  60  2.24  712.88 173 640  2.79 27
 16800 185  37.4 .013  -4.0 -10.4  550.32  61  2.23  710.93 173 640  2.77 27
 16900 186  37.6 .012  -4.2 -11.2  548.25  58  2.09  708.86 172 640  2.59 27
 17000 186  36.5 .019  -4.3 -13.3  546.11  49  1.76  706.56 169 640  2.19 27
 17100 185  33.6 .050  -4.5 -14.0  544.00  47  1.66  704.46 168 639  2.06 27
 17200 185  31.0 .045  -4.8 -14.6  541.94  46  1.59  702.56 167 639  1.97 27
 17300 186  29.8 .023  -4.8 -16.8  539.80  38  1.33  700.01 165 639  1.64 27
 17400 189  28.8 .027  -4.9 -21.6  537.71  25  0.87  697.67 161 639  1.08 27
 17500 192  28.1 .034  -5.0 -23.2  535.68  22  0.76  695.55 160 638  0.94 27
 17600 195  27.4 .025  -5.1 -28.7  533.55  14  0.46  693.01 157 638  0.57 27
 17700 194  26.3 .019  -5.3 -32.0  531.51  10  0.33  691.01 156 638  0.41 27
 17800 194  26.3 .002  -5.5 -32.2  529.45  10  0.33  688.91 156 638  0.41 27
 17900 193  27.6 .022  -5.7 -31.4  527.40  11  0.36  686.83 155 638  0.44 27
 18000 192  28.5 .016  -6.0 -31.6  525.38  11  0.35  684.97 155 637  0.43 27
 18100 193  28.6 .006  -6.4 -31.9  523.31  11  0.34  683.13 154 637  0.42 27
 18200 195  28.1 .018  -6.6 -32.1  521.32  11  0.33  681.12 154 637  0.41 27
