time_s,north_vel_fps,east_vel_fps,down_vel_fps,height_ft,total_pres_psi,static_pres_psi,total_temp_K,aoa_rad,aos_rad,roll_angle_rad,pitch_angle_rad,true_heading_rad
323.3,471.448112832,-532.53112304,1.380124505,21328.4120734908,8.90515220657079,6.76217669353972,284.104382625001,-0.209037773881415,-0.0170061581453641,-0.494804672262585,0.0517718510020918,-0.950684582475448
323.35,468.175883904,-534.979344896,1.387197568,21328.4120734908,8.9040205380303,6.76232658341264,284.104382625001,-0.208629672268335,-0.0170782258240952,-0.49413355567552,0.0517718510020918,-0.952122689447728
323.4,468.175883904,-534.979344896,1.387197568,21328.4120734908,8.9040205380303,6.76232658341264,284.101217478054,-0.208862873190095,-0.0170902371038837,-0.493750060482912,0.0518677248002438,-0.953081427429249
323.45,468.175883904,-534.979344896,1.387197568,21328.4120734908,8.9040205380303,6.76232658341264,284.104382625001,-0.209183524457515,-0.0171142596634608,-0.493366565290304,0.0518677248002438,-0.954519534401529
323.5,468.175883904,-534.979344896,1.387197568,21327.7559055118,8.9040205380303,6.76232658341264,284.104382625001,-0.209212674572735,-0.0171022483836722,-0.493174817694,0.0518677248002438,-0.955574146181201
323.55,465.977860448,-536.601240768,1.371678402,21327.7559055118,8.9040205380303,6.76232658341264,284.110712918895,-0.208775422844435,-0.0171382822230378,-0.493078943895848,0.0518677248002438,-0.957012253153481
323.6,465.977860448,-536.601240768,1.371678402,21327.7559055118,8.9040205380303,6.76232658341264,284.107547771948,-0.208717122613995,-0.0171022483836722,-0.493174817694,0.0518677248002438,-0.957970991135002
323.65,465.977860448,-536.601240768,1.371678402,21327.7559055118,8.9042678563206,6.76232658341264,284.107547771948,-0.208833723074875,-0.0170662145443067,-0.493462439088456,0.0518677248002438,-0.959409098107282
323.7,465.977860448,-536.601240768,1.371678402,21327.4278215223,8.9042678563206,6.76232658341264,284.110712918895,-0.209066923996635,-0.0170181694251526,-0.493558312886608,0.0518677248002438,-0.960367836088802
323.75,462.683632368,-539.043360224,1.350487818,21327.4278215223,8.9042678563206,6.76232658341264,284.110712918895,-0.209037773881415,-0.0170662145443067,-0.493750060482912,0.0518677248002438,-0.961805943061083
323.8,462.683632368,-539.043360224,1.350487818,21327.4278215223,8.9042678563206,6.76232658341264,284.110712918895,-0.208921173420535,-0.0170902371038837,-0.493845934281064,0.0517718510020918,-0.962764681042603
323.85,462.683632368,-539.043360224,1.350487818,21327.4278215223,8.9042678563206,6.76232658341264,284.110712918895,-0.209183524457515,-0.0170782258240952,-0.494037681877368,0.0518677248002438,-0.964106914216731
323.9,462.683632368,-539.043360224,1.350487818,21327.4278215223,8.9042678563206,6.76232658341264,284.110712918895,-0.209212674572735,-0.0170782258240952,-0.494037681877368,0.0517718510020918,-0.965065652198251
323.95,460.50052928,-540.629251936,1.347291686,21327.4278215223,8.90490488828048,6.76252144024742,284.113878065842,-0.209154374342295,-0.0170662145443067,-0.494037681877368,0.0518677248002438,-0.966503759170532
324,460.50052928,-540.629251936,1.347291686,21327.0997375328,8.90490488828048,6.76252144024742,284.110712918895,-0.209125224227075,-0.0169941468655755,-0.49413355567552,0.0518677248002438,-0.9673666233539
324.05,460.50052928,-540.629251936,1.347291686,21327.0997375328,8.90490488828048,6.76252144024742,284.113878065842,-0.208950323535755,-0.0170421919847297,-0.49413355567552,0.0517718510020918,-0.968708856528028
324.1,460.50052928,-540.629251936,1.347291686,21327.0997375328,8.90490488828048,6.76252144024742,284.113878065842,-0.209008623766195,-0.0170301807049411,-0.494325303271824,0.0517718510020918,-0.969667594509548
324.15,457.217773712,-542.985022432,1.334369854,21327.0997375328,8.90490488828048,6.76252144024742,284.110712918895,-0.209183524457515,-0.0170421919847297,-0.494421177069976,0.0517718510020918,-0.971009827683677
324.2,457.217773712,-542.985022432,1.334369854,21327.0997375328,8.90490488828048,6.76252144024742,284.113878065842,-0.209212674572735,-0.0170902371038837,-0.494421177069976,0.0518677248002438,-0.971872691867045
324.25,457.217773712,-542.985022432,1.334369854,21327.0997375328,8.90672605023637,6.7625664072093,284.110712918895,-0.208775422844435,-0.016934090466633,-0.494517050868128,0.0517718510020918,-0.973214925041173
324.3,457.217773712,-542.985022432,1.334369854,21326.7716535433,8.90672605023637,6.7625664072093,284.113878065842,-0.209241824687955,-0.0171022483836722,-0.49461292466628,0.0517718510020918,-0.974173663022693
324.35,455.014227584,-544.551874656,1.359425927,21326.7716535433,8.90672605023637,6.7625664072093,284.117043212789,-0.209154374342295,-0.0171743160624034,-0.494421177069976,0.0517718510020918,-0.975611769994974
324.4,455.014227584,-544.551874656,1.359425927,21326.7716535433,8.90672605023637,6.7625664072093,284.117043212789,-0.209066923996635,-0.0171382822230378,-0.494325303271824,0.0518677248002438,-0.976570507976494
324.45,455.014227584,-544.551874656,1.359425927,21326.7716535433,8.90672605023637,6.7625664072093,284.120208359736,-0.209125224227075,-0.0173304626996542,-0.494229429473672,0.0517718510020918,-0.978008614948774
324.5,455.014227584,-544.551874656,1.359425927,21326.4435695538,8.90672605023637,6.7625664072093,284.117043212789,-0.209212674572735,-0.0170061581453641,-0.49413355567552,0.0518677248002438,-0.978967352930294
324.55,451.685734528,-546.908926656,1.383669618,21326.4435695538,8.90741554365177,6.76267133012033,284.117043212789,-0.209096074111855,-0.0171262709432493,-0.493941808079216,0.0518677248002438,-0.980501333700727
324.6,451.685734528,-546.908926656,1.383669618,21326.4435695538,8.90741554365177,6.76267133012033,284.117043212789,-0.208892023305315,-0.0171382822230378,-0.493845934281064,0.0518677248002438,-0.981555945480399
324.65,451.685734528,-546.908926656,1.383669618,21326.4435695538,8.90741554365177,6.76267133012033,284.120208359736,-0.209270974803175,-0.0171502935028264,-0.493558312886608,0.0519635985983958,-0.982994052452679
324.7,451.685734528,-546.908926656,1.383669618,21325.7874015748,8.90741554365177,6.76267133012033,284.123373506683,-0.209300124918395,-0.0171142596634608,-0.493462439088456,0.0519635985983958,-0.984048664232352
324.75,449.491738656,-548.41322928,1.39504678,21325.7874015748,8.90741554365177,6.76267133012033,284.120208359736,-0.209387575264054,-0.0170662145443067,-0.493174817694,0.0519635985983958,-0.985582645002784
324.8,449.491738656,-548.41322928,1.39504678,21325.7874015748,8.90741554365177,6.76267133012033,284.123373506683,-0.208921173420535,-0.0171382822230378,-0.492887196299544,0.0520594723965478,-0.986637256782456
324.85,449.491738656,-548.41322928,1.39504678,21325.7874015748,8.9089818928237,6.76286618695512,284.120208359736,-0.209125224227075,-0.0171382822230378,-0.492407827308784,0.0520594723965478,-0.988171237552889
324.9,449.491738656,-548.41322928,1.39504678,21325.7874015748,8.9089818928237,6.76286618695512,284.120208359736,-0.209183524457515,-0.0170662145443067,-0.492024332116176,0.0521553461946999,-0.989129975534409
